username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LPCarlson2;2016/02/09 18:50;1;1;"Trump Supporter Video - EP 3 "The Real Donald Trump Story" L I S T E N!! http://youtu.be/LmWOOrwDUug ";;;;"697205908015816708";https://twitter.com/LPCarlson2/status/697205908015816708
BoutiqaShop;2016/02/09 18:50;0;0;"New Hampshire Primary 2016 Polls: Donald Trump And Bernie Sanders Could Be Headed To Big Wins, Final Polls Show #fa…pic.twitter.com/j35dNhqA1k";;;#fa;"697205895978160128";https://twitter.com/BoutiqaShop/status/697205895978160128
OfficialKB707;2016/02/09 18:50;0;0;"Which Revolutionary Will America Choose — Bernie Sanders, Donald Trump or Ted Cruz http://www.glennbeck.com/2016/02/09/which-revolutionary-will-america-choose-bernie-sanders-donald-trump-or-ted-cruz/?utm_source=twitter&utm_medium=story&utm_campaign=ShareButtons …";;;;"697205894254170112";https://twitter.com/OfficialKB707/status/697205894254170112
film_vulture;2016/02/09 18:50;0;1;"@andymannion77 Kanye is determined to be the Donald Trump of hip hop.";;@andymannion77;;"697205893159632896";https://twitter.com/film_vulture/status/697205893159632896
Maddi_Smith007;2016/02/09 18:50;0;1;"Kanye West and Donald Trump are so incredibly similar, the two are so bold, you can't dislike them";;;;"697205877712011264";https://twitter.com/Maddi_Smith007/status/697205877712011264
rolandsmartin;2016/02/09 18:50;5;10;"#NewsOneNow Audio Podcast: Where Is #DonaldTrump's Jobs Plan? Where Is #DanielHoltzclaw? http://ow.ly/Y8SVK  http://fb.me/29oZvDDzu ";;;#NewsOneNow #DonaldTrump #DanielHoltzclaw;"697205875254128640";https://twitter.com/rolandsmartin/status/697205875254128640
Rebeccamcle0d;2016/02/09 18:50;0;0;"Gd luck America if Donald trump becomes president xx there's a spare bed in my gaff if anyone needs it x";;;;"697205869767950336";https://twitter.com/Rebeccamcle0d/status/697205869767950336
charlottor;2016/02/09 18:50;0;1;"@Willtholmes I kind of love Donald Trump because he's so completely ridiculous but then I remember he's running to run the world & Is not";;@Willtholmes;;"697205866798383104";https://twitter.com/charlottor/status/697205866798383104
dna;2016/02/09 18:50;4;1;"Donald Trump, Bernie Sanders look to emerge from New Hampshire with wins http://dnai.in/daQX ";;;;"697205864562716672";https://twitter.com/dna/status/697205864562716672
kevwodonnell;2016/02/09 18:50;0;1;"My favourite ever response to a Donald Trump tweet. #NewHampshirePrimarypic.twitter.com/PVT8AoYDlP";Glasgow, Scotland;;#NewHampshirePrimarypic;"697205855343788034";https://twitter.com/kevwodonnell/status/697205855343788034
thechefbones;2016/02/09 18:49;0;1;"@Urza83 @realDonaldTrump can we just wall in Donald trump like the cask of Amontillado.";;@Urza83 @realDonaldTrump;;"697205775685566464";https://twitter.com/thechefbones/status/697205775685566464
Sweenn;2016/02/09 18:49;1;0;"Dont get all political im just saying at the very least my man Donald Trump is fucking hilarious";;;;"697205755972169729";https://twitter.com/Sweenn/status/697205755972169729
